scenario_id,agent_id,object_type,predictor,ade,fde,beam_timing_error_s,proactive_gain_s,final_uncertainty
a2fd6176c7695739,3688,pedestrian,KF,0.25400712325543534,0.2275842178887833,,0.0,9.005913560281655
a2fd6176c7695739,3689,pedestrian,KF,0.7203012006443178,1.6756595796526113,,0.0,9.005913560281655
a2fd6176c7695739,3691,pedestrian,KF,0.174274506857774,0.23562010484245582,,0.0,9.005913560281655
a2fd6176c7695739,3693,pedestrian,KF,0.3832082702883177,0.6974799243091215,,0.0,9.005913560281655
a2fd6176c7695739,3695,pedestrian,CV,0.6036259071874749,1.6284181301272094,,0.0,2.0
a2fd6176c7695739,3696,pedestrian,CV,0.23524572039967093,0.295089636982356,,0.0,2.0
a2fd6176c7695739,3697,pedestrian,CV,0.7470706549203976,1.7048168060657047,,0.0,2.0
a2fd6176c7695739,3698,pedestrian,KF,0.027306394344106418,0.04046828328389084,,0.0,9.005913560281655
a2fd6176c7695739,3724,pedestrian,CV,1.1945095860115649,1.9822562752460051,,0.0,2.0
a2fd6176c7695739,3725,pedestrian,KF,1.2703470552895004,2.6835369078143816,,0.0,9.005913560281655
a2fd6176c7695739,3743,pedestrian,CV,0.9959173270180137,2.4905040990776146,0.0,0.0,2.0
a2fd6176c7695739,3746,pedestrian,CV,0.19354818545651203,0.20042505042203707,,0.0,2.0
a2fd6176c7695739,3747,pedestrian,KF,0.602479362105685,0.43968279992111653,,0.0,9.005913560281655
a2fd6176c7695739,3798,pedestrian,KF,0.40576399669497804,0.8104977446039359,,0.0,8.986080141259068
a2fd6176c7695739,3799,pedestrian,KF,2.581853257039939,4.719091045056485,,0.0,8.98558436845516
a4956b27f127a67c,5217,cyclist,KF,1.068734941174446,3.8969017747228145,,0.0,9.010872694579719
a991619cfc4f2216,1956,pedestrian,KF,0.025136228218379585,0.04555037126403401,,0.0,9.01186455959754
abc362bb96b25c1c,4138,pedestrian,CV,0.28649436618762325,0.515161455103065,,0.0,2.0
